Municipio,Regiao,Status,Formato_Via,URL,Observacoes
Cabo Frio,Baixadas Litorâneas,Ambíguo,Não verificado,-,Requer revisão manual
Armação dos Búzios,Baixadas Litorâneas,Ambíguo,Não verificado,-,Requer revisão manual
São Pedro da Aldeia,Baixadas Litorâneas,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Araruama,Baixadas Litorâneas,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Saquarema,Baixadas Litorâneas,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Iguaba Grande,Baixadas Litorâneas,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Arraial do Cabo,Baixadas Litorâneas,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Casimiro de Abreu,Baixadas Litorâneas,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Rio das Ostras,Baixadas Litorâneas,Ambíguo,Não verificado,-,Requer revisão manual - possível SIG municipal
Silva Jardim,Baixadas Litorâneas,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
