Municipio,Regiao,Status,Formato_Via,URL,Observacoes
Itaperuna,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Santo Antônio de Pádua,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Bom Jesus do Itabapoana,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Cambuci,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Italva,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Miracema,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Natividade,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Porciúncula,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Varre-Sai,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
Laje do Muriaé,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
São José de Ubá,Noroeste Fluminense,Não,Não identificado,-,Nenhuma fonte de dados espaciais aberta localizada
